date,sent_fr,sent_de,sentiment_diff,sent_fr_ma7,sent_de_ma7,diff_ma7
2020-01-01,,-0.8324,,,,
2020-01-02,-0.625725,0.0,-0.625725,,,
2020-01-03,0.5166,0.0,0.5166,,,
2020-01-04,0.34439999999999993,0.0,0.34439999999999993,,,
2020-01-05,0.17219999999999996,0.0,0.17219999999999996,,,
2020-01-06,0.0,0.0,0.0,,,
2020-01-07,0.42539999999999994,0.0,0.42539999999999994,,-0.11891428571428572,
2020-01-08,0.8508,0.0,0.8508,0.24052499999999996,0.0,0.24052499999999996
2020-01-09,0.8069,-0.14245999999999998,0.94936,0.44518571428571424,-0.02035142857142857,0.4655371428571428
2020-01-10,0.6045,-0.28491999999999995,0.88942,0.4577428571428571,-0.06105428571428571,0.5187971428571428
2020-01-11,0.45337500000000003,-0.57831,1.031685,0.47331071428571425,-0.14367,0.6169807142857142
2020-01-12,0.30225,-0.8717,1.17395,0.4918892857142857,-0.2681985714285714,0.7600878571428572
2020-01-13,0.151125,0.0,0.151125,0.5134785714285715,-0.2681985714285714,0.7816771428571428
2020-01-14,0.0,-0.21968333333333334,0.21968333333333334,0.45270714285714286,-0.29958190476190477,0.7522890476190476
2020-01-15,-0.33866666666666667,-0.41118,0.07251333333333332,0.28278333333333333,-0.35832190476190473,0.6411052380952381
2020-01-16,-0.6200833333333333,0.0,-0.6200833333333333,0.07892857142857145,-0.3379704761904762,0.4168990476190476
2020-01-17,-0.9015,0.0,-0.9015,-0.1362142857142857,-0.29726761904761906,0.16105333333333333
2020-01-18,-0.1776000000000001,0.0,-0.1776000000000001,-0.2263535714285714,-0.21465190476190474,-0.011701666666666674
2020-01-19,0.5463,-0.742,1.2883,-0.19148928571428575,-0.1961233333333333,0.004634047619047621
2020-01-20,0.13873333333333338,0.0,0.13873333333333338,-0.1932595238095238,-0.1961233333333333,0.00286380952380953
2020-01-21,-0.2688333333333333,0.0,-0.2688333333333333,-0.2316642857142857,-0.16473999999999997,-0.0669242857142857
2020-01-22,-0.23396666666666666,0.0,-0.23396666666666666,-0.21670714285714285,-0.10599999999999998,-0.11070714285714285
2020-01-23,0.0,0.0,0.0,-0.12812380952380953,-0.10599999999999998,-0.022123809523809514
2020-01-24,-0.788,-0.02244,-0.76556,-0.11190952380952382,-0.10920571428571427,-0.002703809523809521
2020-01-25,-0.4287,-0.04488,-0.38382000000000005,-0.14778095238095237,-0.11561714285714285,-0.03216380952380952
2020-01-26,-0.06940000000000002,-0.06732,-0.0020800000000000124,-0.23573809523809525,-0.0192342857142857,-0.21650380952380952
2020-01-27,0.28990000000000005,-0.08976,0.37966000000000005,-0.21414285714285716,-0.03205714285714285,-0.18208571428571427
2020-01-28,0.6492,-0.11220000000000001,0.7614,-0.08299523809523812,-0.04808571428571427,-0.03490952380952382
2020-01-29,0.0,0.0,0.0,-0.04957142857142859,-0.04808571428571427,-0.0014857142857142886
2020-01-30,-0.25875,0.0,-0.25875,-0.0865357142857143,-0.04808571428571427,-0.03845
2020-01-31,-0.5175,0.0,-0.5175,-0.04789285714285715,-0.04487999999999998,-0.0030128571428571344
2020-02-01,-0.34846,-0.3357,-0.012759999999999994,-0.036430000000000004,-0.08642571428571426,0.0499957142857143
2020-02-02,-0.17941999999999997,-0.7305,0.55108,-0.05214714285714285,-0.1811657142857143,0.12901857142857145
2020-02-03,-0.010379999999999945,-0.1712,0.16082000000000005,-0.0950442857142857,-0.1928,0.0977557142857143
2020-02-04,0.15866000000000002,-0.4232333333333333,0.5818933333333334,-0.16512142857142856,-0.23723333333333332,0.07211190476190481
2020-02-05,0.3277,-0.19346666666666668,0.5211666666666667,-0.11830714285714286,-0.26487142857142854,0.14656428571428576
2020-02-06,-0.23675000000000002,0.0,-0.23675000000000002,-0.1151642857142857,-0.26487142857142854,0.1497071428571429
2020-02-07,-0.8012,0.2013,-1.0025,-0.15569285714285716,-0.23611428571428572,0.08042142857142862
2020-02-08,-0.727375,-0.06754166666666664,-0.6598333333333334,-0.20982357142857144,-0.19780595238095236,-0.012017619047619015
2020-02-09,-0.6535500000000001,-0.3363833333333333,-0.31716666666666676,-0.2775564285714286,-0.14150357142857142,-0.13605285714285714
2020-02-10,-0.579725,-0.477,-0.10272500000000007,-0.3588914285714286,-0.1851892857142857,-0.17370214285714283
2020-02-11,-0.5059,-0.2385,-0.2674,-0.4538285714285715,-0.1587988095238095,-0.29502976190476193
2020-02-12,0.3782,0.0,0.3782,-0.44661428571428574,-0.13116071428571427,-0.31545357142857144
2020-02-13,-0.7946,-0.24233333333333332,-0.5522666666666667,-0.5263071428571429,-0.16577976190476187,-0.36052738095238096
2020-02-14,-0.16925,-0.21615,0.0469,-0.43602857142857143,-0.22541547619047617,-0.21061309523809527
2020-02-15,-0.08462500000000002,-0.108075,0.023449999999999985,-0.34420714285714293,-0.23120595238095237,-0.11300119047619049
2020-02-16,0.0,0.0,0.0,-0.2508428571428572,-0.18315119047619044,-0.06769166666666668
2020-02-17,-0.3152,-0.2996,-0.015600000000000003,-0.21305357142857145,-0.15780833333333333,-0.05524523809523809
2020-02-18,-0.6304,-0.5992,-0.031200000000000006,-0.23083928571428572,-0.20933690476190475,-0.021502380952380946
2020-02-19,0.5026,-0.14804,0.6506400000000001,-0.21306785714285717,-0.23048547619047619,0.01741761904761907
2020-02-20,-0.45565,0.0,-0.45565,-0.16464642857142858,-0.19586642857142858,0.031220000000000026
2020-02-21,0.7358,0.0,0.7358,-0.03535357142857143,-0.16498785714285713,0.12963428571428576
