Date,Open,High,Low,Close
08/05/2024,"29.51","31.17","31.17","31.17"
08/02/2024,"20.38","24.52","24.52","24.52"
08/01/2024,"16.02","18.12","18.12","18.12"
07/31/2024,"16.66","15.74","15.74","15.74"
07/30/2024,"16.54","16.53","16.53","16.53"
07/29/2024,"16.21","16.83","16.83","16.83"
07/26/2024,"16.74","16.15","16.15","16.15"
07/25/2024,"17.39","16.93","16.93","16.93"
07/24/2024,"15.35","16.06","16.06","16.06"
07/23/2024,"15.30","14.80","14.80","14.80"
07/22/2024,"16.33","15.69","15.69","15.69"
07/19/2024,"16.32","16.88","15.88","16.32"
07/18/2024,"14.66","15.73","15.73","15.73"
07/17/2024,"14.03","14.55","14.55","14.55"
07/16/2024,"14.30","13.87","13.87","13.87"
07/15/2024,"13.70","13.59","13.59","13.59"
07/12/2024,"13.38","13.06","13.06","13.06"
07/11/2024,"13.95","13.42","13.42","13.42"
07/10/2024,"14.32","13.87","13.87","13.87"
07/09/2024,"13.69","14.60","14.60","14.60"
07/08/2024,"14.14","13.29","13.29","13.29"
07/05/2024,"14.37","14.43","14.43","14.43"
07/04/2024,"14.64","14.62","14.62","14.62"
07/03/2024,"15.58","14.83","14.83","14.83"
07/02/2024,"16.58","15.88","15.88","15.88"
07/01/2024,"18.12","15.90","15.90","15.90"
06/28/2024,"18.83","18.30","18.30","18.30"
06/27/2024,"18.74","19.06","19.06","19.06"
06/26/2024,"17.51","18.98","18.98","18.98"
06/25/2024,"17.79","18.04","18.04","18.04"
06/24/2024,"17.64","17.38","17.38","17.38"
06/21/2024,"17.97","17.60","17.60","17.60"
06/20/2024,"18.19","17.75","17.75","17.75"
06/19/2024,"18.41","18.52","18.52","18.52"
06/18/2024,"19.24","18.60","18.60","18.60"
06/17/2024,"19.49","19.91","19.91","19.91"
06/14/2024,"17.36","19.87","19.87","19.87"
06/13/2024,"14.38","16.75","16.75","16.75"
06/12/2024,"15.61","14.77","14.77","14.77"
06/11/2024,"14.31","15.76","15.76","15.76"
06/10/2024,"14.88","14.51","14.51","14.51"
06/07/2024,"13.22","13.29","13.29","13.29"
06/06/2024,"13.62","13.34","13.34","13.34"
06/05/2024,"14.25","13.93","13.93","13.93"
06/04/2024,"14.43","14.74","14.74","14.74"
06/03/2024,"13.66","14.06","14.06","14.06"
05/31/2024,"14.13","14.14","14.14","14.14"
05/30/2024,"14.60","13.98","13.98","13.98"
05/29/2024,"13.75","14.08","14.08","14.08"
05/28/2024,"12.88","13.31","13.31","13.31"
05/27/2024,"12.97","12.88","12.88","12.88"
05/24/2024,"13.33","12.61","12.61","12.61"
05/23/2024,"12.51","12.52","12.52","12.52"
05/22/2024,"12.61","12.74","12.74","12.74"
05/21/2024,"12.50","12.54","12.54","12.54"
05/20/2024,"12.59","12.44","12.44","12.44"
05/17/2024,"12.82","12.13","12.13","12.13"
05/16/2024,"12.62","12.79","12.79","12.79"
05/15/2024,"13.90","13.09","13.09","13.09"
05/14/2024,"13.94","13.96","13.96","13.96"
05/13/2024,"13.87","13.92","13.92","13.92"
05/10/2024,"13.39","13.60","13.60","13.60"
05/09/2024,"13.62","13.46","13.46","13.46"
05/08/2024,"13.97","13.72","13.72","13.72"
05/07/2024,"14.15","14.09","14.09","14.09"
05/06/2024,"14.66","14.30","14.30","14.30"
05/03/2024,"15.16","14.44","14.44","14.44"
05/02/2024,"15.81","15.43","15.43","15.43"
04/30/2024,"15.13","15.57","15.57","15.57"
04/29/2024,"15.44","15.11","15.11","15.11"
04/26/2024,"15.57","15.26","15.26","15.26"
04/25/2024,"15.79","16.36","16.36","16.36"
04/24/2024,"15.44","15.62","15.62","15.62"
04/23/2024,"16.41","15.79","15.79","15.79"
04/22/2024,"17.79","17.11","17.11","17.11"
04/19/2024,"18.68","18.19","18.19","18.19"
04/18/2024,"18.02","17.52","17.52","17.52"
04/17/2024,"19.13","18.47","18.47","18.47"
04/16/2024,"20.20","19.63","19.63","19.63"
04/15/2024,"17.71","18.52","18.52","18.52"
04/12/2024,"15.49","18.79","18.79","18.79"
04/11/2024,"15.97","16.70","16.70","16.70"
04/10/2024,"15.64","15.91","15.91","15.91"
04/09/2024,"15.64","16.30","16.30","16.30"
04/08/2024,"16.14","15.52","15.52","15.52"
04/05/2024,"15.79","16.12","16.12","16.12"
04/04/2024,"14.23","13.69","13.69","13.69"
04/03/2024,"14.95","14.25","14.25","14.25"
04/02/2024,"13.97","15.18","15.18","15.18"
03/28/2024,"12.80","13.38","13.38","13.38"
03/27/2024,"12.54","12.86","12.86","12.86"
03/26/2024,"12.58","12.45","12.45","12.45"
03/25/2024,"12.96","12.49","12.49","12.49"
03/22/2024,"12.43","12.42","12.42","12.42"
03/21/2024,"12.76","12.18","12.18","12.18"
03/20/2024,"13.30","12.96","12.96","12.96"
03/19/2024,"13.55","13.12","13.12","13.12"
03/18/2024,"13.75","13.83","13.41","13.75"
03/15/2024,"13.33","13.31","13.31","13.31"
03/14/2024,"12.29","13.32","13.32","13.32"
03/13/2024,"13.58","13.14","13.14","13.14"
03/12/2024,"14.52","13.68","13.68","13.68"
03/11/2024,"14.77","14.73","14.73","14.73"
03/08/2024,"13.87","13.72","13.72","13.72"
03/07/2024,"14.69","13.90","13.90","13.90"
03/06/2024,"14.54","14.16","14.16","14.16"
03/05/2024,"14.05","14.69","14.69","14.69"
03/04/2024,"14.10","13.75","13.75","13.75"
03/01/2024,"13.51","13.78","13.78","13.78"
02/29/2024,"13.97","13.78","13.78","13.78"
02/28/2024,"13.40","13.86","13.86","13.86"
02/27/2024,"13.35","13.36","13.36","13.36"
02/26/2024,"14.10","13.44","13.44","13.44"
02/23/2024,"13.85","13.86","13.33","13.85"
02/22/2024,"13.86","13.81","13.81","13.81"
02/21/2024,"14.21","14.55","14.55","14.55"
02/20/2024,"14.22","14.20","14.20","14.20"
02/19/2024,"14.65","14.08","14.08","14.08"
02/16/2024,"14.08","14.61","13.79","14.08"
02/15/2024,"14.10","14.32","14.32","14.32"
02/14/2024,"15.12","14.44","14.44","14.44"
02/13/2024,"14.62","15.03","15.03","15.03"
02/12/2024,"14.34","14.36","14.36","14.36"
02/09/2024,"13.75","13.99","13.99","13.99"
02/08/2024,"13.58","13.76","13.76","13.76"
02/07/2024,"13.53","13.64","13.64","13.64"
02/06/2024,"13.87","13.61","13.61","13.61"
02/05/2024,"14.61","14.16","14.16","14.16"
02/02/2024,"14.28","14.04","14.04","14.04"
02/01/2024,"15.04","14.81","14.81","14.81"
01/31/2024,"14.15","14.84","13.93","14.15"
01/30/2024,"14.10","14.11","14.11","14.11"
01/29/2024,"14.18","14.06","14.06","14.06"
01/26/2024,"13.63","13.61","13.61","13.61"
01/25/2024,"13.67","13.58","13.58","13.58"
01/24/2024,"13.55","13.46","13.46","13.46"
01/23/2024,"13.76","13.58","13.58","13.58"
01/22/2024,"14.12","13.85","13.85","13.85"
01/19/2024,"14.15","14.67","14.00","14.15"
01/18/2024,"14.94","14.51","14.51","14.51"
01/17/2024,"15.10","15.08","15.08","15.08"
01/16/2024,"14.83","14.15","14.15","14.15"
01/15/2024,"13.79","14.11","14.11","14.11"
01/12/2024,"13.48","13.42","13.42","13.42"
01/11/2024,"13.36","13.92","13.92","13.92"
01/10/2024,"13.58","13.39","13.39","13.39"
01/09/2024,"13.96","13.70","13.70","13.70"
01/08/2024,"14.58","14.00","14.00","14.00"
01/05/2024,"14.84","14.12","14.12","14.12"
01/04/2024,"15.30","14.31","14.31","14.31"
01/03/2024,"14.31","15.49","15.49","15.49"
01/02/2024,"14.01","14.49","14.49","14.49"
12/29/2023,"13.37","13.57","13.57","13.57"
12/28/2023,"13.31","13.52","13.52","13.52"
12/27/2023,"14.14","14.14","13.39","14.14"
12/22/2023,"13.72","13.56","13.56","13.56"
12/21/2023,"13.30","13.59","13.59","13.59"
12/20/2023,"12.86","12.74","12.74","12.74"
12/19/2023,"12.75","12.83","12.83","12.83"
12/18/2023,"13.00","12.91","12.91","12.91"
12/15/2023,"12.70","12.12","12.12","12.12"
12/14/2023,"12.84","12.45","12.45","12.45"
12/13/2023,"13.06","13.50","13.50","13.50"
12/12/2023,"13.66","13.21","13.21","13.21"
12/11/2023,"13.99","13.71","13.71","13.71"
12/08/2023,"14.09","13.70","13.70","13.70"
12/07/2023,"14.47","14.21","14.21","14.21"
12/06/2023,"13.93","14.08","14.08","14.08"
12/05/2023,"14.03","14.00","14.00","14.00"
12/04/2023,"14.15","14.12","14.12","14.12"
12/01/2023,"13.50","13.50","13.50","13.50"
11/30/2023,"14.24","13.82","13.82","13.82"
11/29/2023,"13.92","14.20","14.20","14.20"
11/28/2023,"14.34","14.17","14.17","14.17"
11/27/2023,"13.99","14.03","14.03","14.03"
11/24/2023,"13.76","13.40","13.40","13.40"
