DATAFLOW,LAST UPDATE,freq,indic,s_adj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2022-08,98.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2022-09,94.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2022-10,92.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2022-11,94.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2022-12,96.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-01,98.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-02,98.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-03,98.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-04,98.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-05,95.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-06,94.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-07,91.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-08,89.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-09,90.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-10,90.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-11,90.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2023-12,92.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-01,90.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-02,90.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-03,91.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-04,92.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-05,93.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-06,92.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-07,92.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-08,91.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-09,90.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-10,90.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-11,89.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2024-12,86.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",Germany,2025-01,88.4,,
