,Epsilon
2023-01-02,0.005802767653139251
2023-01-03,0.01572105535895907
2023-01-04,-0.03995957910157821
2023-01-05,0.02773813975459405
2023-01-06,-0.007643537030132763
2023-01-09,0.002331104970420106
2023-01-10,-0.008478627057351917
2023-01-11,-0.009523189454069991
2023-01-12,0.005140564555569771
2023-01-13,0.003822332376175408
2023-01-16,0.0007497355717643872
2023-01-17,-0.016295776047178467
2023-01-18,-0.010506074991694148
2023-01-19,-0.006684765334165732
2023-01-20,0.01543224046100583
2023-01-23,0.00026767366226820855
2023-01-24,-0.028222202008899577
2023-01-25,0.006927831744879653
2023-01-26,0.017419429296353373
2023-01-27,0.0018793413222816246
2023-01-30,-0.000879043686212666
2023-01-31,-0.007751630177309565
2023-02-01,-0.00954816627309929
2023-02-02,-0.015080277057935298
2023-02-03,-0.016901289726391766
2023-02-06,-0.003581052972401799
2023-02-07,0.008405783471179817
2023-02-08,-0.02831272720446454
2023-02-09,0.00820796288651493
2023-02-10,0.0018387242969273854
2023-02-13,-0.001996939212087656
2023-02-14,0.005741756046929225
2023-02-15,-0.00509039638377734
2023-02-16,-0.0006137894125201049
2023-02-17,-0.010036225797783793
2023-02-20,-0.004029234099819423
2023-02-21,0.008584680298685698
2023-02-22,0.003988769209017418
2023-02-23,-0.018515277882661774
2023-02-24,0.003173945040263082
2023-02-27,-0.004746935271778274
2023-02-28,0.0068760577336194895
2023-03-01,0.003023704182438469
2023-03-02,-0.003095820243452563
2023-03-03,0.002151198944541133
2023-03-06,-0.003058381173749236
2023-03-07,-0.01847306835443796
2023-03-08,-0.0018238522834237436
2023-03-09,0.001968764217764263
2023-03-10,0.012856206810077375
2023-03-13,-0.0010073586244917498
2023-03-14,-0.05323345012547065
2023-03-15,0.054581488362901553
2023-03-16,-0.015920964528981285
2023-03-17,-0.024188326907522373
2023-03-20,-0.004047527834123876
2023-03-21,-0.03269958941379136
2023-03-22,-0.012901842750669745
2023-03-23,0.0016673592897359368
2023-03-24,0.006319862407670351
2023-03-27,-0.003097671802149593
2023-03-28,0.0038970428654988565
2023-03-29,-0.01622824384649646
2023-03-30,0.008434214426437547
2023-03-31,-0.027977544865899873
2023-04-03,-0.0011404362840554683
2023-04-04,-0.001904508762512247
2023-04-05,0.0003561000627706479
2023-04-06,0.019671650995930157
2023-04-11,0.006854303960942554
2023-04-12,0.020294882956724658
2023-04-13,-0.011494224577742185
2023-04-14,-0.007613281261841909
2023-04-17,-0.026970829907957072
2023-04-18,0.015869058613063147
2023-04-19,-0.005764178432109968
2023-04-20,-0.005624961924170835
2023-04-21,-0.0038768986155681695
2023-04-24,0.06641821807617543
2023-04-25,-0.024603036838827474
2023-04-26,0.0027295963269557966
2023-04-27,-0.008550662902035766
2023-04-28,-0.015372485169720118
2023-05-02,0.027434257205524504
2023-05-03,-0.02919262409514145
2023-05-04,0.008662223384007461
2023-05-05,-0.025364583131714524
2023-05-08,-0.006010794752177473
2023-05-09,0.005551358503485648
2023-05-10,-0.025724795633955688
2023-05-11,-0.005381152699587721
2023-05-12,0.0021269655738170856
2023-05-15,-0.013326028840889181
2023-05-16,0.01891748524983916
2023-05-17,-0.017844524846182375
2023-05-18,0.04098397283261146
2023-05-19,-0.04545466404367049
2023-05-22,-0.0014628681565056478
2023-05-23,-0.006220387915142234
2023-05-24,0.0034525957575239907
2023-05-25,0.021912234800195773
2023-05-26,-0.03525180004263717
2023-05-29,-0.00037066583466460745
2023-05-30,-0.012409392436896094
2023-05-31,0.019113025507341952
2023-06-01,-0.007066225299557027
2023-06-02,-0.009387543066259108
2023-06-05,5.856604230902729e-05
2023-06-06,0.008408394330413738
2023-06-07,0.005530635337479106
2023-06-08,-0.013273603727315453
2023-06-09,0.0037638304764269215
2023-06-12,-0.000664262103102442
2023-06-13,-0.002400178899740868
2023-06-14,0.002001657603730611
2023-06-15,-0.012608855715292022
2023-06-16,-0.00913414185448691
2023-06-19,-0.0014399481565201544
2023-06-20,0.004775827496856677
2023-06-21,0.004424329967709806
2023-06-22,0.00012455336092032088
2023-06-23,-0.009070918497982694
2023-06-26,-0.0020629806927766614
2023-06-27,-0.017327681638513726
2023-06-28,0.010241133626764931
2023-06-29,0.004890175616087067
2023-06-30,0.009713519071123056
2023-07-03,-0.0010733284067253601
2023-07-04,-0.00039952906947537947
2023-07-05,-0.006015969521703801
2023-07-06,0.012930882281720235
2023-07-07,-0.009644926012561172
2023-07-10,0.011380648390937886
2023-07-11,-0.006056245484514555
2023-07-12,-0.01497599631076374
2023-07-13,0.0030562578703881016
2023-07-14,0.003295271200375538
2023-07-17,0.0008722257354591978
2023-07-18,0.005121674470916604
2023-07-19,0.0055702720378667525
2023-07-20,0.0019330971019833054
2023-07-21,-0.004464883139883469
2023-07-24,0.0014246543158915603
2023-07-25,-0.004041251250260669
2023-07-26,-0.0005791842825765281
2023-07-27,0.01357908057993562
2023-07-28,0.010867400703385766
2023-07-31,-0.01075805216722403
2023-08-01,0.012962288543991063
2023-08-02,0.00821730251623165
2023-08-03,-0.01113498481217745
2023-08-04,-0.017959382246028888
2023-08-07,0.0010177011676734127
2023-08-08,-0.004513344264816199
2023-08-09,0.003769773775079477
2023-08-10,-0.0026776520218835254
2023-08-11,-0.0185258053593651
2023-08-14,-0.00010599647055409278
2023-08-15,0.0029072746910415725
2023-08-16,0.006222250993417
2023-08-17,-0.003682323050777203
2023-08-18,0.0016408933910105894
2023-08-21,-0.005822598401428625
2023-08-22,-0.027771396334668186
2023-08-23,0.0084482804745869
2023-08-24,0.001960308048442938
2023-08-25,-0.002745892124749072
2023-08-28,-0.00549151800612413
2023-08-29,0.004768409743083124
2023-08-30,0.003418250508067988
2023-08-31,-0.013488446559361544
2023-09-01,0.01572403599835681
2023-09-04,0.0018887346097369306
2023-09-05,0.0036793574193306755
2023-09-06,-0.0023698730203897123
2023-09-07,-0.002149074250006322
2023-09-08,0.016179010497424096
2023-09-11,0.008267408118457165
2023-09-12,0.0051036643501845
2023-09-13,0.005378500268626074
2023-09-14,-0.0179826545617241
2023-09-15,0.01915748780145321
2023-09-18,-0.01095173090147572
2023-09-19,-0.0020590994984445166
2023-09-20,-0.006767966933993286
2023-09-21,-0.002971769091896559
2023-09-22,0.011523702993047391
2023-09-25,-0.002796028753555113
2023-09-26,0.005578677386947062
2023-09-27,0.004824999555047005
2023-09-28,-0.03478207480309525
2023-09-29,0.03268897331926013
2023-10-02,-0.011097956525436992
2023-10-03,4.7002126745354644e-05
2023-10-04,-0.022525798177647327
2023-10-05,0.02507100882730351
2023-10-06,0.008382721875138999
2023-10-09,-0.0008496534872493022
2023-10-10,-0.044619018421793055
2023-10-11,0.0018274371583157922
2023-10-12,-0.005320052148317211
2023-10-13,0.03088117450402239
2023-10-16,0.04910956284558188
2023-10-17,-0.00783774893800171
2023-10-18,0.008796082122935589
2023-10-19,-0.017648184512014664
2023-10-20,0.014436545596611117
2023-10-23,-0.012417526098490006
2023-10-24,0.01100652429343385
2023-10-25,-0.0032251901571602737
2023-10-26,0.0011532841836691121
2023-10-27,-0.012652856420987124
2023-10-30,-0.0040101871812853185
2023-10-31,0.007714927413358996
2023-11-01,0.005660127363966372
2023-11-02,-0.023838067980596733
2023-11-03,-0.0025186720186980427
2023-11-06,0.003225159668656996
2023-11-07,-0.006150134570452659
2023-11-08,0.002139932077530049
2023-11-09,-0.009994819109804265
2023-11-10,0.010849671875491795
2023-11-13,-0.01944545121894381
2023-11-14,-0.015972810874963828
2023-11-15,0.02801281646841225
2023-11-16,-0.015117581510911915
2023-11-17,0.0087175856246261
2023-11-20,-0.0022823113933992945
2023-11-21,0.008531747214192698
2023-11-22,-0.010113762059829945
2023-11-23,0.00021204563673316024
2023-11-24,-0.00505611050657051
2023-11-27,0.0013829209078298765
2023-11-28,0.009534682746419887
2023-11-29,-0.00014444036552629935
2023-11-30,0.00988443972508779
2023-12-01,-0.00973657846679521
2023-12-04,0.005216893894522401
2023-12-05,-0.0103091179167214
2023-12-06,-0.028443504008753506
2023-12-07,-0.0015894578968727036
2023-12-08,0.028252511890368148
2023-12-11,0.002317548867669994
2023-12-12,-0.017280381661276545
2023-12-13,0.006751933919604047
2023-12-14,-0.029918153715388085
2023-12-15,0.022734870338771973
2023-12-18,-0.0004808735436302447
2023-12-19,-0.026598635400050807
2023-12-20,-0.003933280183356036
2023-12-21,0.012988565364243532
2023-12-22,-0.002597437346353204
2023-12-27,0.008948299790647263
2023-12-28,0.02750945872775723
2023-12-29,-0.0014955060498146322
