date,sent_fr,sent_de,sent_fr_norm,sent_de_norm,sentiment_diff_norm,sent_fr_ma7,sent_de_ma7,sent_fr_norm_ma7,sent_de_norm_ma7,diff_norm_ma7
2025-01-01,0.0,0.0,0.2648110174217447,0.3592048525454326,-0.09439383512368793,,,,,
2025-01-02,-0.212075,-0.2592666666666667,-0.5033594145767976,-0.5632304655087358,0.05987105093193823,,,,,
2025-01-03,-0.15723333333333334,0.0,-0.3047139034375619,0.3592048525454326,-0.6639187559829944,,,,,
2025-01-04,-0.9396,0.0,-3.1385742845036595,0.3592048525454326,-3.497779137049092,,,,,
2025-01-05,0.0,0.0,0.2648110174217447,0.3592048525454326,-0.09439383512368793,,,,,
2025-01-06,0.0,-0.0912625,0.2648110174217447,0.03450536727704023,0.23030565014470444,,,,,
2025-01-07,-0.47295,-0.10908749999999999,-1.4482914501661863,-0.02891354328216089,-1.4193779068840255,-0.25455119047619046,-0.0656595238095238,-0.6572151429169958,0.12559725266683913,-0.782812395583835
2025-01-08,-0.34406,0.6117,-0.981430731173886,2.5355497383273873,-3.516980469501273,-0.303702619047619,0.02172619047619048,-0.8352496784306574,0.43650366492140413,-1.2717533433520616
2025-01-09,-0.4535,0.4343,-1.3778403602104083,1.9043848164086057,-3.282225176619014,-0.33819190476190475,0.12080714285714286,-0.9601755278068875,0.7890201337667386,-1.7491956615736262
2025-01-10,0.0,0.0,0.2648110174217447,0.3592048525454326,-0.09439383512368793,-0.31573,0.12080714285714286,-0.8788148248269866,0.7890201337667386,-1.6678349585937249
2025-01-11,-0.22995,-0.232525,-0.5681055962199612,-0.4680872752401633,-0.10001832097979785,-0.21435142857142855,0.08758928571428572,-0.5116050122150296,0.6708355440830821,-1.1824405562981115
2025-01-12,0.0,-0.46505,0.2648110174217447,-1.2953794030257593,1.560190420447504,-0.21435142857142855,0.021153571428571438,-0.5116050122150297,0.434466364715769,-0.9460713769307986
2025-01-13,-0.6691,-0.09435833333333338,-2.1587789203371828,0.02349081595738451,-2.1822697362945673,-0.3099371428571428,0.020711309523809528,-0.8578321461805908,0.43289285738438954,-1.29072500356498
2025-01-14,-0.1667714285714286,0.2763333333333333,-0.33926244871395406,1.3423610349405284,-1.6816234836544823,-0.2661973469387755,0.07577142857142857,-0.6993994316874147,0.6287892257019166,-1.3281886573893313
2025-01-15,-0.35644,-0.33702941176470586,-1.0262731215930394,-0.8398996703452296,-0.1863734512478098,-0.2679659183673469,-0.05976134453781513,-0.7058054874615795,0.1465821673201142,-0.8523876547816936
2025-01-16,0.28683333333333333,0.0,1.303768393719038,0.3592048525454326,0.9445635411736055,-0.16220401360544215,-0.12180420168067228,-0.3227185226145157,-0.07415782751748193,-0.24856069509703366
2025-01-17,0.2264,0.13073333333333334,1.0848689488350178,0.8243361610319906,0.26053278780302724,-0.12986115646258503,-0.1031280112044818,-0.20556738955547674,-0.007710497733687927,-0.19785689182178862
2025-01-18,-0.07392500000000002,0.06536666666666667,-0.0029574568703323594,0.5917705067887117,-0.594727963659044,-0.10757187074829933,-0.06057205882352941,-0.1248319410769583,0.14369775684186564,-0.2685296979188238
2025-01-19,-0.37425,0.0,-1.0907838625756827,0.3592048525454326,-1.4499887151211153,-0.16103615646258504,0.005863655462184871,-0.3184883525051622,0.38006693620917875,-0.6985552887143409
2025-01-20,0.0,-0.7200500000000001,0.2648110174217447,-2.202634504994696,2.467445522416441,-0.06545044217687075,-0.08352086834733895,0.02773878146039885,0.06204903321602443,-0.03431025175562536
2025-01-21,-0.30033333333333334,-0.459,-0.8230455729836724,-1.273854330998653,0.45080875801498055,-0.08453071428571428,-0.188568487394958,-0.04137309343527519,-0.31169601906100153,0.27032292562572646
2025-01-22,0.29686666666666667,-0.11654,1.3401107725993966,-0.055428518370096234,1.3955392909694928,0.008798809523809523,-0.15707000000000002,0.2966817485922157,-0.19962871163598248,0.4963104602281983
2025-01-23,-0.12635,-0.234675,-0.19284940499021233,-0.4757366810018621,0.28288727601164976,-0.05022738095238095,-0.19059500000000001,0.08287920591946563,-0.31890607357131023,0.401785279490776
2025-01-24,0.11676,-0.08279999999999998,0.687734886996894,0.06461378414140155,0.6231211028554925,-0.0658902380952381,-0.2210997619047619,0.026145768514019365,-0.4274378416985373,0.4535836102125567
2025-01-25,0.0,-0.05519999999999999,0.2648110174217447,0.16281080694274522,0.10200021047899946,-0.05532952380952381,-0.23832357142857144,0.0643984076986018,-0.48871779881938965,0.5531162065179915
2025-01-26,-0.216525,-0.0276,-0.5194780444124381,0.2610078297440889,-0.780485874156527,-0.032797380952380946,-0.2422664285714286,0.14601352457906533,-0.5027459449338674,0.6487594695129327
2025-01-27,-0.43305,0.0,-1.303767106246621,0.3592048525454326,-1.6629719587920535,-0.09466166666666666,-0.13940214285714286,-0.07806906451641549,-0.13676889385670607,0.058699829340290624
2025-01-28,-0.27536666666666665,-0.13873636363636363,-0.7326122115837104,-0.13440014250440477,-0.5982120690793056,-0.091095,-0.0936501948051948,-0.0651500128878495,0.02601027592818652,-0.09116028881603597
2025-01-29,0.6156666666666667,-0.15805,2.4948566583527163,-0.20311541751805914,2.6979720758707755,-0.04555214285714282,-0.0995801948051948,0.09981368507691046,0.004912147478477533,0.094901537598433
2025-01-30,0.11941428571428571,-0.4864727272727272,0.6973491451781525,-1.3715985348542723,2.0689476800324247,-0.010442959183673441,-0.1355512987012987,0.22698490652953401,-0.12306811735758107,0.3500530238871152
2025-01-31,0.0,-0.4177222222222222,0.2648110174217447,-1.1269936467365789,1.3918046641583235,-0.027122959183673443,-0.18339733044733045,0.16656721087594126,-0.29329775034014965,0.45986496121609105
2025-02-01,0.0,0.0,0.2648110174217447,0.3592048525454326,-0.09439383512368793,-0.027122959183673443,-0.17551161616161615,0.16656721087594126,-0.2652414581111943,0.4318086689871357
2025-02-02,0.46365,0.0,1.9442273597351907,0.3592048525454326,1.5850225071897581,0.0700448979591837,-0.17156875901875898,0.5185251257541739,-0.2512133119967167,0.7697384377508907
2025-02-03,0.9273,0.0,3.623643702048636,0.3592048525454326,3.2644388495032035,0.264380612244898,-0.17156875901875898,1.2224409555106395,-0.2512133119967167,1.473654267507356
2025-02-04,-0.12326666666666668,0.0,-0.1816810659655175,0.3592048525454326,-0.5408859185109501,0.2861091836734694,-0.1517492784992785,1.3011454048846667,-0.18069831270388279,1.4818437175885497
2025-02-05,0.0,-0.45285,0.2648110174217447,-1.251973472657049,1.5167844900787937,0.19815680272108846,-0.1938635642135642,0.9825674561802423,-0.33053517772373847,1.3131026339039806
2025-02-06,0.36585999999999996,-0.014850000000000007,1.5900159413919748,0.3063705848425357,1.283645356549439,0.23336333333333334,-0.1264888888888889,1.1100912842107884,-0.09082530348133733,1.2009165876921257
2025-02-07,-0.47725,0.45765,-1.463866755400626,1.9874609208438003,-3.4513276762444263,0.16518476190476192,-0.0014357142857142863,0.8631373166647354,0.354096777601574,0.5090405390631615
2025-02-08,0.0,0.228825,0.2648110174217447,1.1733328866946164,-0.9085218692728718,0.16518476190476192,0.03125357142857143,0.8631373166647354,0.4704007824800288,0.3927365341847067
2025-02-09,0.0,0.0,0.2648110174217447,0.3592048525454326,-0.09439383512368793,0.09894904761904763,0.03125357142857143,0.6232206963342432,0.47040078248002887,0.15281991385421437
2025-02-10,0.0,-0.123,0.2648110174217447,-0.0784123142866426,0.34322333170838726,-0.03352238095238095,0.013682142857142856,0.14338745567325864,0.407884044361161,-0.2644965886879022
